Type,kittiSeq,vehicleId,valSeqNo,Augmentation,Seq Loss
Validation,12,1,2,False,1.7959166483537756
Validation,20,0,4,False,0.225
Validation,20,4,5,False,0.7412570384968221
Validation,20,13,6,False,0.9742640687119284
Validation,20,46,7,False,0.925
Validation,20,122,9,False,1.2257121285275907
Validation,20,122,10,False,1.4142135623730951
Validation,5,31,16,False,0.9431980515339464
Validation,18,6,25,False,1.3262599393146939
Validation,18,6,26,False,0.648606797749979
Validation,7,22,30,False,1.5887312068411064
Validation,11,0,33,False,0.8871320343559642
Validation,11,35,37,False,0.35
Validation,57,1,42,False,0.0
Validation,57,1,43,False,0.6181980515339464
Training,4,2,1,False,0.7948104290900959
Training,4,2,2,False,0.8603553390593273
Training,4,2,3,False,0.4121320343559642
Training,4,2,4,False,0.8681980515339462
Training,8,8,6,False,0.7664213562373096
Training,8,8,7,False,0.6723230556748042
Training,8,8,8,False,0.7164213562373096
Training,8,8,9,False,0.7414213562373095
Training,8,8,10,False,0.6723230556748042
Training,8,13,11,False,0.7635800941716264
Training,8,13,12,False,0.8887444119121136
Training,8,13,13,False,0.3853553390593274
Training,20,0,21,False,0.35
Training,20,0,22,False,0.9092907722902812
Training,20,3,24,False,0.8371320343559642
Training,20,5,25,False,0.5
Training,20,5,26,False,0.9121320343559642
Training,20,7,27,False,0.375
Training,20,9,28,False,0.2603553390593274
Training,20,12,30,False,0.6060660171779821
Training,20,12,31,False,1.1198104290900956
Training,20,12,32,False,1.0492640687119283
Training,20,12,33,False,0.6207106781186548
Training,20,12,34,False,0.42677669529663687
Training,20,12,35,False,0.7164213562373096
Training,20,12,36,False,0.8621320343559642
Training,20,12,37,False,0.7619677166154768
Training,20,12,38,False,0.9180337337934589
Training,20,13,39,False,0.7457106781186548
Training,20,13,40,False,0.6267766952966369
Training,20,15,41,False,0.4
Training,20,16,42,False,0.9535533905932738
Training,20,16,43,False,0.6414213562373094
Training,20,16,44,False,0.7931980515339463
Training,20,19,45,False,0.9740997509714411
Training,20,55,49,False,0.568033733793459
Training,20,122,57,False,1.0050014504089357
Training,84,2,58,False,0.3603553390593274
Training,84,3,59,False,0.025
Training,84,5,60,False,0.175
Training,84,14,64,False,0.3853553390593274
Training,84,14,65,False,0.631066017177982
Training,84,48,69,False,0.5207106781186548
Training,5,31,77,False,0.793033733793459
Training,9,16,82,False,0.6724873734152916
Training,6,12,97,False,1.1092227096536327
Training,10,0,98,False,0.6207106781186548
Training,10,0,99,False,0.7707106781186548
Training,10,0,100,False,0.6621320343559642
Training,10,0,101,False,0.6707106781186548
Training,18,1,105,False,0.8846194077712559
Training,18,2,106,False,1.1380084806240423
Training,18,2,107,False,1.2071067811865475
Training,18,2,108,False,0.375
Training,18,2,109,False,0.15
Training,18,3,110,False,0.7283890728527863
Training,18,3,111,False,0.6474873734152916
Training,18,3,112,False,0.3207106781186548
Training,18,3,113,False,0.7681980515339464
Training,18,6,114,False,0.4207106781186548
Training,18,16,115,False,0.6414213562373094
Training,3,0,120,False,0.7990997509714411
Training,3,1,121,False,0.7207106781186547
Training,7,11,124,False,1.0507121285275907
Training,11,0,138,False,1.1242640687119283
Training,11,0,139,False,0.7810660171779821
Training,11,0,140,False,0.8724873734152917
Training,11,0,141,False,0.6121320343559642
Training,11,28,145,False,0.825
Training,11,39,149,False,1.4789917412055307
Training,11,43,151,False,0.625
Training,11,51,153,False,0.8492640687119286
Training,15,2,154,False,1.0298371326684486
Training,15,18,156,False,0.5767766952966369
Training,19,42,159,False,0.7490997509714411
Training,19,63,161,False,0.6767766952966369
Training,19,72,162,False,0.657842712474619
Training,19,88,164,False,1.0553300858899106
